SPY,XLK,XLV,XLE,sharpe,return_pct,max_dd_pct
0.0,0.05,0.25,0.7,1.5032139309397805,1691.463508579112,-18.333303884786545
0.0,0.05,0.3,0.65,1.5584798931444557,1669.5965588420052,-17.497589422136773
0.0,0.05,0.35,0.6,1.6137280217720174,1645.9547465701949,-16.656079950971346
0.0,0.05,0.4,0.55,1.6676424769296077,1620.6161627292502,-15.808767571330007
0.0,0.05,0.45,0.5,1.718533954481254,1593.663689251121,-15.001622503832756
0.0,0.05,0.5,0.45,1.7643570960614412,1565.1845506728466,-14.278193190073186
0.0,0.05,0.55,0.4,1.8028000484314395,1535.2698475355733,-13.551036459185916
0.0,0.05,0.6,0.35,1.8314657822137665,1504.0140750089236,-12.820158500115275
0.0,0.05,0.65,0.3,1.8481431622433226,1471.5146302703647,-12.08556580911113
0.0,0.05,0.7,0.25,1.8511299707673083,1437.8713121987223,-11.347265191405642
0.0,0.05,0.75,0.2,1.839532980950966,1403.1858169385953,-10.837581390256023
0.0,0.05,0.8,0.15,1.8134546611533215,1367.5612328580225,-10.518585098669552
0.0,0.05,0.85,0.1,1.7740004718590787,1331.1015383560016,-10.480794310897545
0.0,0.05,0.9,0.05,1.7231002159155615,1293.9111058805634,-10.941192799656928
0.0,0.05,0.95,0.0,1.6632011838604102,1256.0942153942842,-11.811612896792735
0.0,0.1,0.0,0.9,1.3377633376335358,1972.5497476220103,-20.940565615125482
0.0,0.1,0.05,0.85,1.3883440046095246,1957.333682063337,-20.120646022481903
0.0,0.1,0.1,0.8,1.441527192844214,1939.8452946462291,-19.294912148119604
0.0,0.1,0.15,0.75,1.4970896296016356,1920.1442206265122,-18.463354469564674
0.0,0.1,0.2,0.7,1.5546282254110126,1898.2972230195837,-17.62596383660483
0.0,0.1,0.25,0.65,1.6135013690538365,1874.3778180720224,-16.782731475414025
0.0,0.1,0.3,0.6,1.6727643899806168,1848.4658657824848,-15.933648992669214
0.0,0.1,0.35,0.55,1.731107997551308,1820.647128643231,-15.078708379651873
0.0,0.1,0.4,0.5,1.78681576909934,1791.0128019919857,-14.289794063219086
0.0,0.1,0.45,0.45,1.8377649345757259,1759.6590195498407,-13.560148136065052
0.0,0.1,0.5,0.4,1.8815001796814954,1726.6863378694766,-12.826741193829072
0.0,0.1,0.55,0.35,1.9154065658284214,1692.1992035339367,-12.089579462335609
0.0,0.1,0.6,0.3,1.9369878508797358,1656.3054070231406,-11.348669477357765
0.0,0.1,0.65,0.25,1.9442186990089434,1619.1155272070596,-10.604018086312362
0.0,0.1,0.7,0.2,1.9358946386202163,1580.742370428861,-10.020656204815182
0.0,0.1,0.75,0.15,1.9118772273802986,1541.3004081105626,-9.695596351727431
0.0,0.1,0.8,0.1,1.8731487027010094,1500.9052167469963,-9.800637592212325
0.0,0.1,0.85,0.05,1.821652269760001,1459.6729240547538,-10.207027416090709
0.0,0.1,0.9,0.0,1.7599706474040384,1417.7196649104633,-10.843532270355016
0.0,0.15,0.0,0.85,1.4276438509586282,2191.4753081183912,-19.43238562552273
0.0,0.15,0.05,0.8,1.4829843497868473,2172.5412243959845,-18.599260698377396
0.0,0.15,0.1,0.75,1.5409597509521311,2151.131902761688,-17.76025687731967
0.0,0.15,0.15,0.7,1.6012050997175005,2127.320001208934,-16.91536489232376
0.0,0.15,0.2,0.65,1.6631180784185977,2101.1857787805843,-16.06457585303609
0.0,0.15,0.25,0.6,1.725790020663473,2072.8166477956966,-15.20788125293232
0.0,0.15,0.3,0.55,1.7879367038912555,2042.3066899730695,-14.345272973460265
